animal,"('yeah that where the animal sit last night', 'Target_Child')","[1, ('oh and he he pull up the pig from you pull up the pig from from the train with a crank', 'Target_Child'), 'pig']",,
animal,"('yeah that where the animal sit last night', 'Target_Child')","[1, ('oh and he he pull up the pig from you pull up the pig from from the train with a crank', 'Target_Child'), 'pig']","[6, ('that spot be too much for the a cat and me', 'Investigator'), 'cat']",
animal,"('what kind of animal do you feel yesterday at school', 'Mother')","[1, ('okay catch it', 'Mother'), 'cat']",,
animal,"('do you see this animal', 'Mother')","[1, ('pat the kitty cat', 'Target_Child'), 'cat']",,
animal,"('which animal have two', 'Mother')","[1, ('pig pig what have you bring me', 'Mother'), 'pig']",,
animal,"('animal in', 'Target_Child')","[1, ('pig', 'Target_Child'), 'pig']",,
animal,"('be there lots_of animal', 'Mother')","[1, ('right you hafta be care not to break your bunny bank you right', 'Mother'), 'bunny']",,
animal,"('get those animal do go to zoo', 'Target_Child')","[1, ('shall we make the big dog chase the little dog', 'Mother'), 'dog']",,
animal,"('that not the cow jump over the moon what that animal we see at the zoo yesterday', 'Mother')","[1, ('take that and the dog too', 'Mother'), 'dog']",,
animal,"('that not the cow jump over the moon what that animal we see at the zoo yesterday', 'Mother')","[1, ('take that and the dog too', 'Mother'), 'dog']","[2, ('that not the cow jump over the moon what that animal we see at the zoo yesterday', 'Mother'), 'cow']",
animal,"('oh no all the animal be run away be they', 'Mother')","[1, ('that cat think it too cold', 'Investigator'), 'cat']",,
animal,"('what animal', 'Target_Child')","[1, ('the cat head', 'Target_Child'), 'cat']",,
animal,"('what other animal be on the box', 'Mother')","[1, ('the dog at the party too', 'Mother'), 'dog']",,
animal,"('a animal could go there or there or there', 'Mother')","[1, ('the pig fence', 'Mother'), 'pig']",,
animal,"('that where animal live', 'Mother')","[1, ('the pig say oink', 'Mother'), 'pig']",,
animal,"('be the animal cold or warm now', 'Mother')","[1, ('the pig try to get out', 'Mother'), 'pig']",,
animal,"('be the animal cold or warm now', 'Mother')","[1, ('the pig try to get out', 'Mother'), 'pig']","[5, ('which one the cow', 'Mother'), 'cow']",
animal,"('not never the animal', 'Target_Child')","[1, ('they be dog', 'Target_Child'), 'dog']",,
animal,"('where do the rest of the animal go', 'Mother')","[1, ('they kinda like cow', 'Mother'), 'cow']",,
animal,"('I have some animal just like I have some animal', 'Target_Child')","[1, ('this be a man pig', 'Sibling'), 'pig']",,
animal,"('not too good on her animal', 'Mother')","[1, ('this be her dog', 'Target_Child'), 'dog']",,
animal,"('alright do you want to hear about the farm animal', 'Mother')","[1, ('three sing pig say', 'Mother'), 'pig']",,
animal,"('where the animal live', 'Mother')","[1, ('we have get a cat with this one have we', 'Mother'), 'cat']",,
animal,"('baby animal', 'Mother')","[1, ('what do a pig say', 'Mother'), 'pig']",,
animal,"('animal should definite not wear clothing', 'Mother')","[1, ('what do the pig say', 'Mother'), 'pig']",,
animal,"('you do real want to play with these animal do you', 'Mother')","[1, ('what the pig say', 'Mother'), 'pig']",,
animal,"('do you want put more animal on the farm', 'Mother')","[1, ('where the baby cow go', 'Mother'), 'cow']",,
animal,"('look at the other animal', 'Target_Child')","[1, ('where the cat', 'Mother'), 'cat']",,
animal,"('your necklace on your animal', 'Mother')","[1, ('who the big cat', 'Mother'), 'cat']",,
animal,"('animal', 'Target_Child')","[1, ('you can open a pig', 'Mother'), 'pig']",,
animal,"('animal', 'Target_Child')","[1, ('you can open a pig', 'Mother'), 'pig']","[6, ('dog and baby', 'Mother'), 'dog']",
animal,"('what be that animal', 'Mother')","[1, ('you catch mommy', 'Target_Child'), 'cat']",,
animal,"('can you help me build a fence for the animal', 'Mother')","[1, ('you have a pig baby at home do you', 'Mother'), 'pig']",,
animal,"('and both this little kitty cat and this little animal be both musician because he play the flute', 'Mother')","[2, ('and both this little kitty cat and this little animal be both musician because he play the flute', 'Mother'), 'cat']",,
animal,"('and dog be animal', 'Target_Child')","[2, ('and dog be animal', 'Target_Child'), 'dog']",,
